Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
100,Event Staff,461.800000,split,466.800000,DTCS,88.5,88.5,654,NN,FM,5.00,,Ch 3 - Event Staff,,,,
101,VIP Parking,464.025000,,0.600000,DTCS,88.5,88.5,065,NN,FM,5.00,,Ch 4 - VIP Parking,,,,
102,Cheerleaders,469.025000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 5 - Cheerleaders,,,,
103,Premium Svcs,461.750000,split,466.750000,DTCS,88.5,88.5,351,NN,FM,5.00,,Ch 6 - Premium Services,,,,
104,Medical,464.725000,split,469.725000,TSQL,229.1,229.1,023,NN,FM,5.00,,Ch 7 - Medical,,,,
105,Audio/Video,468.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 8 - Audio/Video,,,,
106,Scoreboard,461.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 9 - Scoreboard,,,,
107,Swoop,466.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 10 - Swoop,,,,
108,Public Relat,452.175000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 11 - Media relations/Public Relations,,,,
109,Corp Sales,457.175000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 12 - Corporate sales,,,,
110,Retail,463.400000,split,468.400000,DTCS,88.5,88.5,351,NN,FM,5.00,,Ch 13 - Stores / Retail,,,,
111,Sports Svcs,463.600000,split,468.600000,DTCS,88.5,88.5,071,NN,FM,5.00,,Ch 14 - Sports Services,,,,
112,Rest Assoc,463.350000,split,468.350000,DTCS,88.5,88.5,432,NN,FM,5.00,,Ch 15 - Rest Association,,,,
113,Trainers,466.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Ch 16 - Trainers,,,,
114,Food Service,461.200000,split,466.200000,TSQL,146.2,146.2,023,NN,FM,5.00,,Ch 17 - Aramark Food Service,,,,
115,Security 1,461.237500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Security Ch 1 - Simplex,,,,
116,Security 2,461.387500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Security Ch 2 - Command Post Simplex,,,,
117,Security 3,464.087500,split,469.087500,,88.5,88.5,023,NN,FM,5.00,,Security Ch 3 - Repeater (Primary),,,,
118,Security 4,461.137500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Security Ch 4 - Auxiliary,,,,
119,The Linc,463.837500,split,468.837500,DTCS,88.5,88.5,332,NN,FM,5.00,,The Linc,,,,
120,Security,464.750000,split,469.750000,TSQL,233.6,233.6,023,NN,FM,5.00,,Security (New 2010),,,,
123,Wireless,183.730000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Wireless Headsets for Game Operations,,,,
136,Parking 2,469.087500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Parking Ch 2 / Scalper Patrol,,,,
142,Flyers,467.662500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Flyers,,,,
144,Wireless,154.570000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Wireless Headsets for Game Operations,,,,
145,Wireless,177.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Wireless Headsets for Game Operations,,,,
146,Cameramen,476.050000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Cameramen,,,,
147,Hearing Aids,72.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Hearing-Assist Transmitters,,,,
148,Mesa,129.300000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Mesa,,,,
149,US Airways,128.825000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways,,,,
150,LGA Cit/AA,128.850000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,"LGA Cit, AA",,,,
151,Signature FS,129.000000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Signature Flight Support,,,,
152,US Air Expr,129.175000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Express,,,,
153,American Air,129.200000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,American Operations,,,,
154,Emr/Airborne,129.425000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,"Emery, Airborne",,,,
155,Delta Radio ,129.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Delta Radio 1,,,,
156,Signature FS,129.700000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Signature Flight Support,,,,
157,USAirLoadOCC,129.800000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways - Load Control / OCC,,,,
158,Continental,129.925000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Continental,,,,
159,US Air Maint,130.000000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways - Maintenance,,,,
160,US Air Ramp1,130.050000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Ramp 1,,,,
161,American Air,130.075000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,American Airlines,,,,
162,US Air Ops,130.100000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Operations,,,,
163,British Air,130.150000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,British Airways,,,,
164,Atlantic Avi,130.400000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Atlantic Aviation / Continental,,,,
165,US Air Expr,130.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Express,,,,
166,1st Aviation,130.600000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,First Aviation,,,,
167,US Airways,130.825000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways,,,,
168,US Airways,130.850000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways,,,,
169,Aircan USAir,130.875000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,"Aircan, US Airways",,,,
170,US Air Expr,130.925000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Express (Mesa),,,,
171,US Air Ops,131.000000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Operations,,,,
172,UPS,131.300000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,United Parcel Service,,,,
173,Air Jamaica,131.525000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Air Jamaica,,,,
174,US Air Expr,131.600000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Express,,,,
175,DHL,131.625000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,DHL,,,,
176,FedEx,131.925000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,FedEx,,,,
177,Dynair,131.975000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Dynair,,,,
178,Atlantic Avi,132.000000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Atlantic Aviation,,,,
179,Atlant Coast,136.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,"Atlantic Coast, United Express",,,,
180,Atlant Coast,136.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,"Atlantic Coast, United Express",,,,
181,Delta,131.850000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Delta,,,,
182,Continental,130.525000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Continental,,,,
183,US Air Expr,131.100000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways Express,,,,
184,Virgin Am,130.425000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Virgin America,,,,
185,US Air Ramp2,130.575000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,US Airways - Ramp 2,,,,
186,De-Ice Pad,129.575000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Central Deicing Pad Control,,,,
187,Airport Ops,460.650000,,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,,Airport Ground Operations (United Airlines?),,,,
188,Maintenance,453.850000,split,458.850000,,88.5,88.5,023,NN,FM,5.00,,Maintenance,,,,
189,KPHL Tac 1,866.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,PHL Airport Tactical 1,,,,
190,KPHL Tac 2,868.975000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,PHL Airport Tactical 2,,,,
191,ASIG TermB/C,462.025000,,0.600000,DTCS,88.5,88.5,132,NN,FM,5.00,,Aircraft Service International Group - US Airways B/C Terminal,,,,
192,ASIG Term A,464.900000,,0.600000,DTCS,88.5,88.5,132,NN,FM,5.00,,Aircraft Service International Group - Afternoon A Terminal,,,,
193,ASIG Term F,463.550000,,0.600000,DTCS,88.5,88.5,132,NN,FM,5.00,,Aircraft Service International Group - US Airways Express F Terminal,,,,
194,Southwest,462.225000,split,467.225000,DTCS,88.5,88.5,025,NN,FM,5.00,,Southwest Airlines,,,,
195,Southwest,463.500000,split,468.500000,DTCS,88.5,88.5,464,NN,FM,5.00,,Southwest Airlines,,,,
196,SWA Wchr,464.575000,split,469.575000,DTCS,88.5,88.5,025,NN,FM,5.00,,Southwest Airlines - Wheelchairs,,,,
197,BAW,460.700000,split,465.700000,TSQL,123.0,123.0,023,NN,FM,5.00,,British Airways - Ground Support,,,,
199,SWA,460.750000,,0.600000,DTCS,88.5,88.5,023,NN,NFM,5.00,,Southwest Airlines,,,,
200,AAL,460.775000,split,465.775000,TSQL,114.8,114.8,023,NN,NFM,5.00,,American Airlines,,,,
201,DAL,460.875000,split,465.875000,TSQL,127.3,127.3,023,NN,NFM,5.00,,Delta Airlines,,,,
202,SWA Ramp,463.675000,split,468.675000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Southwest Airlines - Ramp,,,,
203,AWI Maint,463.987500,split,468.987500,DTCS,88.5,88.5,743,NN,NFM,5.00,,Air Wisconsin - Maintenance,,,,
205,Unicom,122.950000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Unicom,,,,
206,Grnd Cntrl 1,121.900000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Ground Control 1,,,,
207,Grnd Cntrl 2,121.650000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Ground Control 2 - Taxi,,,,
208,Tower 1,118.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Tower 1,,,,
209,Tower 2,135.100000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Tower 2,,,,
210,S Arrival,133.875000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,South Arrival,,,,
211,A/D Woodstwn,127.350000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Approach/Departure (Woodstown area),,,,
212,N Arrival,128.400000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,North Arrival,,,,
213,S Departure,119.750000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,South Departure,,,,
214,Clear/Deliv,118.850000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Clearance Delivery,,,,
215,SW DuPont,118.350000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,SW (DuPont area),,,,
216,NE Yardley,123.800000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,NE (Yardley area),,,,
217,N Departure,124.350000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,North Departure,,,,
218,NW Pottstown,126.850000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,NW (Pottstown area),,,,
219,N/NE/W 27/9,128.400000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,N/NE/W 27/9,,,,
220,Final App,125.400000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Final Approach,,,,
221,Emergency,121.500000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Emergency,,,,
222,ILS 26,135.925000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,ILS 26,,,,
223,ILS 27L,120.425000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,ILS 27L,,,,
224,PHL,133.800000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,PHL,,,,
225,Final App 2,132.675000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Final Approach 2,,,,
226,North High,126.075000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,North High,,,,
227,South High,125.125000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,South High,,,,
228,SE,323.100000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,SE,,,,
229,Tower 1,327.050000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Tower 1,,,,
230,Clear/Deliv,348.600000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Clearance Delivery,,,,
231,Departure S,269.250000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Departure - South,,,,
232,Grnd Cntrl 1,348.600000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Ground Control 1,,,,
233,Approach NE,291.700000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Approach - NE,,,,
234,Departure N,320.100000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Departure - North,,,,
235,Approach S,317.550000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Approach - South,,,,
236,Approach NW,363.125000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Approach - NW,,,,
237,Approach/Dep,263.125000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Approach/Departure,,,,
238,ATIS,133.400000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,ATIS,,,,
239,TSA,166.287500,,0.600000,,88.5,88.5,023,NN,P25,5.00,,TSA,,,,
240,TSA,166.287500,,0.600000,,88.5,88.5,023,NN,P25,5.00,,TSA,,,,
241,TSA,172.900000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,TSA - Coordination Center,,,,
242,TSA,171.762500,,0.600000,TSQL,131.8,131.8,023,NN,NFM,5.00,,TSA - low power personal radios (voice inversion),,,,
243,SmartPark,451.962500,split,456.962500,DTCS,88.5,88.5,703,NN,NFM,5.00,,SmartPark,,,,
244,SmartPark,461.562500,split,466.562500,TSQL,162.2,162.2,023,NN,NFM,5.00,,SmartPark,,,,
245,PreFlight,461.887500,split,466.887500,DTCS,88.5,88.5,223,NN,NFM,5.00,,PreFlight Parking,,,,
246,Enterprise,462.500000,split,467.500000,DTCS,88.5,88.5,565,NN,NFM,5.00,,Enterprise Rent-A-Car,,,,
247,Taxi Dispatc,462.512500,split,467.512500,DTCS,88.5,88.5,743,NN,NFM,5.00,,Parkway - Taxi Dispatch,,,,
248,FirstTrans,462.125000,split,467.125000,DTCS,88.5,88.5,565,NN,NFM,5.00,,First Transit - Airport Shuttle Buses,,,,
249,KPNE Tower,126.900000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Local Control,,,,
250,Ground Cntrl,121.700000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Ground Control,,,,
251,Clear/Deliv,127.250000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Clearence Delivery,,,,
252,CTAF,122.900000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,CTAF,,,,
253,Chopper 6,455.087500,,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,,WPVI ABC 6 - Chopper 6,,,,
254,SkyFox 29,450.287500,,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,,WTXF Fox  29 - SkyFox  & Ground Units,,,,
255,Chopper 10,455.050000,,0.600000,TSQL,114.8,114.8,023,NN,FM,5.00,,WCAU NBC 10 - Chopper 10 Primary,,,,
256,Chopper 10,455.150000,,0.600000,TSQL,114.8,114.8,023,NN,FM,5.00,,WCAU NBC 10 - Chopper 10 Secondary,,,,
257,Chopper 6,455.725000,split,450.725000,TSQL,156.7,156.7,023,NN,FM,5.00,,WPVI ABC 6 - Chopper 6 Primary (New),,,,
258,WPVI IFB,455.237500,,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,,WPVI ABC 6 - IFB Feed and Control,,,,
259,Chopper 3,450.187500,,0.600000,TSQL,107.2,107.2,023,NN,FM,5.00,,KYW CBS 3 - Chopper 3 Secondary,,,,
260,Chopper 3,450.550000,split,455.550000,TSQL,107.2,107.2,023,NN,FM,5.00,,KYW CBS 3 - Chopper 3 Primary,,,,
261,Fox 29,450.387500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,WTXF Fox 29,,,,
262,News Air-Air,135.975000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,News Helo Air-Air Scene Coordination,,,,
263,WPVI Cars,161.640000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,WPVI ABC 6 - News Cars,,,,
264,WCAU IFB,455.212500,,0.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,WCAU NBC 10 - IFB Feed and Control,,,,
265,WCAU IFB,455.512500,,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,,WCAU NBC 10 - IFB Feed and Talent,,,,
266,News A-A875,135.875000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,News Helo Air-Air,,,,
267,Metro Shadow,450.850000,split,455.850000,TSQL,97.4,97.4,023,NN,FM,5.00,,Metro Networks Shadow Traffic,,,,
268,WDAS Remotes,161.670000,,0.600000,TSQL,71.9,71.9,023,NN,FM,5.00,,WDAS-FM Radio Remotes,,,,
269,Philly Zoo,462.512500,split,467.512500,TSQL,136.5,136.5,023,NN,FM,5.00,,Operations,,,,
270,PhlZooKeeprs,463.487500,split,468.487500,DTCS,88.5,88.5,047,NN,NFM,5.00,,Keepers,,,,
271,PhlZoo Main,463.537500,split,468.537500,DTCS,88.5,88.5,047,NN,NFM,5.00,,"Main Ops (Facilities, Guest Service, Retail, etc)",,,,
272,Philly Zoo,463.712500,split,468.712500,,88.5,88.5,023,NN,FM,5.00,,Operations,,,,
